latitude,longitude,avg_ride_cost
40.72,-74.18,42.8
40.61,-74.07,42.8
40.83,-74.13,42.675
40.67,-73.74,42.610625
40.83,-74.22,42.55
40.68,-73.79,42.54875
40.79,-73.8,42.32
40.74,-74.15,42.3
40.7,-73.81,42.15323788546256
40.73,-74.04,42.124669603524225
40.61,-74.08,42.08200000000001
40.96,-73.95,42.075
40.94,-73.83,42.05
40.81,-74.07,41.71333333333333
40.91,-73.86,41.55
40.79,-73.92,41.483289473684216
39.89,-74.55,41.4
40.6,-74.03,41.3
40.91,-74.17,41.3
40.79,-73.73,41.22500000000001
40.71,-73.82,41.185669014084496
40.7,-74.08,41.06571428571429
40.63,-73.83,41.0
40.77,-73.86,40.817595793356496
40.59,-73.76,40.8
40.93,-73.84,40.63333333333333
40.61,-74.15,40.629999999999995
40.69,-73.74,40.491
40.58,-74.11,40.46666666666666
40.77,-73.48,40.425
41.06,-73.83,40.42
40.59,-73.82,40.4
40.61,-74.12,40.35333333333333
40.95,-73.88,40.34
40.64,-73.71,40.3
40.81,-73.48,40.3
40.87,-73.97,40.260000000000005
40.76,-73.73,40.225
40.82,-74.05,40.05
40.58,-73.84,40.03333333333333
40.79,-74.24,40.0
40.76,-74.24,40.0
40.8,-74.16,39.986666666666665
40.76,-74.17,39.887499999999996
40.64,-73.83,39.8
40.82,-74.06,39.675
40.77,-74.03,39.52326923076922
40.91,-73.88,39.4375
40.6,-74.08,39.40333333333333
40.91,-73.81,39.4
40.65,-73.57,39.15
40.85,-73.95,38.867777777777775
40.84,-73.71,38.8
40.63,-73.78,38.630204081632655
40.77,-73.87,38.53051707047228
40.8,-73.99,38.30529411764705
40.77,-73.67,38.3
40.87,-74.06,38.3
40.6,-74.13,38.3
40.75,-73.73,38.165000000000006
43.61,-74.63,38.13
40.73,-74.07,37.978333333333325
40.9,-74.03,37.900000000000006
40.89,-73.95,37.824999999999996
40.91,-73.6,37.63
40.69,-73.69,37.60857142857143
40.85,-73.96,37.607000000000006
46.54,-74.12,37.58
40.89,-73.89,37.46666666666666
40.8,-74.02,37.43
40.59,-74.28,37.4
40.77,-73.88,37.286282977954656
40.8,-74.03,37.23333333333333
40.75,-74.06,37.20947368421051
40.66,-73.76,37.17
40.71,-74.05,36.88833333333333
40.83,-74.12,36.8
40.78,-73.87,36.77074074074074
40.76,-73.85,36.69191489361702
40.65,-73.84,36.68333333333333
40.87,-73.99,36.672000000000004
40.75,-73.85,36.53433333333332
40.86,-74.07,36.46666666666666
40.79,-74.02,36.44588235294117
40.74,-73.94,36.44376736111109
40.87,-73.84,36.42
40.87,-74.0,36.326
40.64,-74.04,36.27555555555556
40.74,-73.54,36.199999999999996
40.98,-74.1,36.13333333333333
40.6,-74.07,36.05
40.95,-74.08,35.76
40.73,-73.88,35.65392523364488
40.82,-73.98,35.598888888888894
40.67,-73.83,35.57698113207546
40.96,-73.88,35.3
40.77,-73.89,35.27193812324234
40.71,-74.18,35.18214285714286
40.71,-73.75,35.165
40.78,-73.86,35.158
40.66,-73.85,34.97833333333334
40.73,-73.9,34.954816753926714
40.7,-74.2,34.88333333333333
41.0,-73.88,34.8
40.73,-73.78,34.68
40.9,-74.06,34.63333333333333
40.67,-73.84,34.62482142857143
40.58,-73.83,34.55
40.66,-73.79,34.43722063037246
40.68,-73.78,34.37
42.75,-73.52,34.3
40.53,-74.27,34.3
40.61,-74.13,34.138
41.04,-74.33,34.0
40.93,-74.12,33.9
40.72,-73.83,33.858739669421496
40.67,-74.1,33.701249999999995
40.72,-74.07,33.55432432432432
40.91,-73.91,33.53076923076923
40.79,-74.06,33.3
40.66,-73.71,33.3
40.75,-74.42,33.13
40.66,-73.78,33.106
40.75,-74.02,33.074782608695664
40.66,-73.82,32.961875
40.58,-74.08,32.8
40.69,-73.44,32.8
40.8,-73.92,32.76916376306621
40.73,-73.74,32.67629629629629
41.55,-75.27,32.63
40.73,-73.71,32.63
40.74,-74.06,32.575555555555546
40.67,-73.81,32.53567901234568
40.63,-74.04,32.526666666666664
40.63,-74.11,32.425
40.66,-73.73,32.31727272727273
40.78,-73.88,32.208000000000006
40.34,-73.93,32.17
40.76,-73.43,32.05
40.54,-73.54,32.0
40.79,-73.93,31.75765432098767
40.69,-73.89,31.744999999999997
39.99,-73.36,31.715
40.78,-74.03,31.666666666666668
40.65,-73.87,31.65
40.63,-73.89,31.632727272727276
40.19,-74.19,31.58
40.78,-73.77,31.560000000000002
40.96,-73.84,31.466666666666665
40.83,-73.99,31.440000000000005
40.73,-74.05,31.332028985507243
40.71,-74.08,31.316666666666666
40.93,-74.13,31.119999999999997
40.6,-74.02,30.966666666666665
40.73,-74.08,30.819000000000006
40.94,-74.12,30.799999999999997
40.87,-73.98,30.770000000000007
40.67,-73.78,30.712857142857143
40.66,-73.86,30.612000000000002
40.71,-74.32,30.35
40.76,-74.22,30.3
40.75,-73.56,30.3
41.03,-73.75,30.3
40.75,-73.77,30.3
40.7,-74.09,29.986666666666668
40.82,-73.84,29.925384615384612
40.94,-73.89,29.825000000000003
40.61,-73.87,29.8
40.58,-74.1,29.8
40.95,-73.85,29.75
40.8,-74.1,29.7
40.73,-73.83,29.652040816326537
40.63,-74.05,29.549999999999997
40.62,-74.07,29.33333333333333
40.79,-73.78,29.3
40.62,-74.04,29.244814814814816
40.76,-73.75,29.049999999999997
40.81,-74.03,29.049999999999997
40.8,-73.89,29.03
40.72,-74.09,28.849999999999998
40.77,-73.77,28.8
40.72,-73.69,28.8
40.69,-73.68,28.695
40.75,-73.84,28.43285714285715
40.64,-73.76,28.3
40.6,-74.29,28.3
40.75,-73.81,28.220909090909092
40.59,-73.8,28.107499999999998
40.63,-74.17,28.095
40.75,-73.82,28.080666666666666
40.73,-73.76,27.948
40.78,-74.04,27.899333333333335
40.68,-73.76,27.83
40.7,-73.7,27.8
40.62,-74.16,27.735
40.78,-73.93,27.446722222222228
40.41,-73.46,27.44
40.66,-73.72,27.4
40.68,-73.77,27.30875
40.72,-73.7,27.3
40.73,-73.53,27.299999999999997
40.97,-73.78,27.299999999999997
40.86,-73.84,27.28333333333333
40.82,-73.81,27.275714285714287
40.77,-73.85,27.22714285714286
40.59,-73.91,27.089999999999996
40.73,-73.62,27.049999999999997
40.58,-73.95,26.855000000000004
40.59,-73.9,26.8
40.69,-73.72,26.76666666666667
40.75,-73.62,26.567777777777778
40.81,-73.68,26.549999999999997
40.74,-73.86,26.486419213973804
40.58,-73.98,26.407692307692308
40.59,-73.94,26.285882352941176
40.89,-73.83,26.25
40.6,-74.01,26.2375
40.78,-73.82,26.226
40.8,-73.82,26.16
40.66,-73.77,26.075454545454548
40.71,-73.71,26.049999999999997
40.91,-73.85,26.040000000000003
40.51,-73.87,26.0
40.69,-73.84,25.997692307692315
40.68,-73.88,25.977735849056604
40.59,-73.99,25.84222222222222
40.69,-73.87,25.81714285714286
40.89,-73.99,25.8
38.53,-76.4,25.8
40.91,-74.0,25.8
40.74,-73.74,25.799999999999997
40.58,-73.93,25.7575
40.7,-73.87,25.75
40.7,-73.79,25.695
40.92,-73.87,25.666666666666668
40.7,-73.68,25.657142857142862
42.75,-76.35,25.56
41.03,-73.63,25.55
40.65,-74.03,25.5
40.67,-73.75,25.341
40.9,-73.91,25.318235294117653
40.98,-73.84,25.3
40.43,-74.24,25.3
40.86,-74.05,25.22666666666667
40.65,-74.02,25.205918367346936
42.75,-77.06,25.2
40.76,-73.66,25.02
40.62,-73.75,25.0
40.6,-74.1,24.96
40.59,-73.95,24.928235294117652
40.65,-73.9,24.894375000000007
41.68,-74.08,24.8
40.65,-73.75,24.799999999999997
40.72,-73.72,24.799999999999997
40.61,-73.9,24.659999999999997
40.69,-73.86,24.632916666666663
40.65,-73.88,24.614705882352947
40.74,-73.76,24.55
40.86,-73.82,24.525
40.57,-73.99,24.5
40.87,-74.19,24.491666666666664
40.66,-74.01,24.4875
40.69,-73.73,24.46666666666667
40.72,-73.78,24.436666666666667
40.76,-73.81,24.3815
40.7,-73.76,24.37714285714286
41.04,-73.84,24.36
40.76,-73.19,24.36
40.92,-73.94,24.35
40.72,-74.14,24.3
40.89,-73.88,24.3
40.6,-74.17,24.2
40.7,-74.07,24.1425
39.16,-73.84,24.075
40.58,-73.94,24.0
40.76,-73.79,23.86916666666667
40.81,-74.0,23.850000000000005
40.29,-74.78,23.8
40.74,-73.73,23.778888888888886
40.81,-73.75,23.75
40.61,-73.94,23.733333333333334
40.85,-74.02,23.724999999999998
40.78,-73.83,23.69933333333334
40.3,-73.58,23.6
40.69,-73.8,23.481764705882355
40.64,-74.03,23.468799999999998
40.67,-74.01,23.432564102564104
40.53,-73.7,23.349999999999998
40.68,-74.02,23.34852941176471
40.79,-73.81,23.337777777777777
40.78,-74.0,23.315344827586205
40.69,-73.53,23.3
40.63,-74.63,23.3
41.02,-73.84,23.3
40.21,-73.78,23.3
40.74,-74.18,23.299999999999997
40.72,-73.77,23.213529411764707
46.7,-77.16,23.16
40.73,-73.75,23.108846153846155
40.63,-73.91,23.0925
40.64,-73.77,23.01
40.75,-74.05,23.002564102564097
42.35,-72.02,23.0
40.76,-73.77,22.949090909090913
40.59,-73.98,22.916666666666668
40.74,-73.75,22.912499999999998
40.61,-74.03,22.898695652173917
40.6,-73.9,22.889999999999997
40.68,-73.87,22.821304347826086
38.72,-70.48,22.8
40.66,-73.55,22.8
40.75,-73.79,22.653333333333332
40.77,-73.81,22.485714285714288
41.74,-73.79,22.4
40.67,-73.86,22.39865384615384
41.03,-73.76,22.366666666666664
40.77,-74.01,22.359473684210524
40.76,-73.86,22.332522796352585
40.65,-73.68,22.3
40.58,-73.89,22.3
40.6,-73.79,22.3
40.61,-74.01,22.236857142857144
40.87,-73.85,22.211538461538467
40.67,-74.17,22.118181818181824
40.79,-73.84,22.081666666666674
40.61,-73.93,22.062105263157896
40.74,-74.25,22.049999999999997
40.72,-73.85,22.01424489795919
40.79,-73.82,22.008888888888894
40.68,-73.92,22.00223577235773
40.69,-73.78,21.916666666666668
40.91,-73.56,21.9
40.66,-74.3,21.865
40.58,-73.97,21.856571428571428
40.63,-73.99,21.807692307692314
40.56,-74.16,21.8
40.68,-73.61,21.8
40.68,-73.65,21.799999999999997
40.92,-73.9,21.791428571428572
40.74,-74.09,21.717058823529413
40.7,-74.15,21.715
40.86,-73.85,21.678571428571427
40.68,-74.01,21.670938628158854
40.84,-73.95,21.655650557620817
40.8,-74.01,21.60133333333334
40.62,-74.02,21.560454545454547
40.87,-73.83,21.551818181818188
40.74,-73.8,21.544705882352943
40.69,-74.08,21.474999999999998
40.73,-73.93,21.364269662921348
40.72,-74.15,21.3
41.04,-73.55,21.3
40.62,-74.15,21.3
40.77,-73.75,21.3
40.6,-73.99,21.216216216216214
40.86,-73.94,21.185357142857146
40.67,-73.85,21.11714285714286
40.68,-73.86,21.06679245283019
40.86,-73.88,20.964800000000004
40.69,-74.03,20.95
40.71,-73.84,20.883928571428562
40.68,-73.84,20.851509433962264
40.73,-73.69,20.8
40.53,-74.43,20.8
40.69,-73.75,20.8
40.71,-74.2,20.8
36.94,-72.41,20.8
40.53,-74.05,20.8
40.89,-74.26,20.8
40.68,-73.85,20.791428571428572
40.63,-73.7,20.76
47.16,-73.41,20.76
40.91,-73.87,20.645454545454548
40.73,-73.85,20.640679012345686
40.73,-73.86,20.63488831615121
40.81,-73.85,20.605000000000004
40.71,-73.86,20.59551401869159
40.67,-73.76,20.556111111111118
40.82,-73.97,20.467142857142857
40.88,-73.92,20.439761904761905
40.83,-73.85,20.392087912087913
40.66,-73.97,20.38115384615385
40.7,-74.01,20.374383764231986
40.73,-73.87,20.345765182186238
40.84,-73.84,20.344634146341463
40.62,-73.95,20.34357142857143
40.68,-73.73,20.333333333333332
40.6,-73.97,20.31138888888889
40.91,-73.82,20.3
40.59,-73.67,20.3
40.96,-74.11,20.3
40.78,-74.5,20.3
40.83,-73.81,20.3
40.85,-73.71,20.3
40.86,-74.04,20.3
40.88,-74.45,20.3
40.91,-74.18,20.3
40.89,-73.9,20.28446808510638
40.74,-73.96,20.23762938230385
40.79,-73.87,20.215
40.75,-73.55,20.15
40.81,-74.24,20.133333333333333
